"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.183743750E-1,-4.408781891E0,-8.761131134E0,7.981402588E-1,9.840315258E0
6.283323750E-1,-4.407434692E0,-8.732690277E0,8.134085083E-1,9.815650434E0
6.382893750E-1,-4.360133057E0,-8.689579926E0,8.259823608E-1,9.757141303E0
6.482463750E-1,-4.315525818E0,-8.724008331E0,8.678952026E-1,9.771659354E0
6.582033750E-1,-4.288432159E0,-8.782835999E0,9.147477722E-1,9.816599312E0
6.681603750E-1,-4.268224182E0,-8.763077087E0,9.651928711E-1,9.794940275E0
6.781183750E-1,-4.264332275E0,-8.711584167E0,9.575587463E-1,9.746442798E0
6.880753750E-1,-4.237388306E0,-8.662785645E0,9.217831421E-1,9.687569300E0
6.980323750E-1,-4.225113831E0,-8.677305450E0,8.771759033E-1,9.691060537E0
7.079893750E-1,-4.243824921E0,-8.747958527E0,8.578660583E-1,9.760776737E0
7.179463750E-1,-4.243974609E0,-8.822054443E0,8.298742676E-1,9.824899816E0
7.279043750E-1,-4.203109589E0,-8.893006897E0,8.282276917E-1,9.871051767E0
7.378613750E-1,-4.105662231E0,-8.940308533E0,8.405021667E-1,9.873804885E0
7.478183750E-1,-3.980073395E0,-8.923842773E0,8.562194824E-1,9.808622017E0
7.577753750E-1,-3.918102264E0,-8.919651489E0,8.747808838E-1,9.781459484E0
7.677323750E-1,-3.910917206E0,-8.973389740E0,8.949888611E-1,9.829445655E0
7.776903750E-1,-3.904031525E0,-8.985963593E0,9.406439209E-1,9.842449635E0
7.876473750E-1,-3.896397400E0,-8.973539429E0,9.892927551E-1,9.832854252E0
7.976043750E-1,-3.954776001E0,-8.902736664E0,1.049766998E0,9.798009189E0
8.075613750E-1,-4.163292389E0,-8.782686310E0,1.055455170E0,9.776633774E0
8.175183750E-1,-4.327949982E0,-8.648116150E0,1.042282562E0,9.726634409E0
8.274763750E-1,-4.391417999E0,-8.559949493E0,1.003662872E0,9.672880984E0
8.374333750E-1,-4.441713409E0,-8.543334045E0,9.544152832E-1,9.676170893E0
8.473903750E-1,-4.502636719E0,-8.580307159E0,8.839118958E-1,9.730195713E0
8.573473750E-1,-4.558620300E0,-8.608748016E0,8.171507263E-1,9.775443558E0
8.673043750E-1,-4.626129913E0,-8.640482025E0,7.688012695E-1,9.831076390E0
8.772623750E-1,-4.692891083E0,-8.683592377E0,7.333250427E-1,9.897765854E0
8.872193750E-1,-4.743635559E0,-8.686885529E0,7.241940308E-1,9.924138023E0
8.971763750E-1,-4.742887115E0,-8.642427979E0,7.189549255E-1,9.884504830E0
9.071333750E-1,-4.708907776E0,-8.590935059E0,7.409591675E-1,9.824815424E0
9.170903750E-1,-4.653373260E0,-8.563991089E0,7.726931763E-1,9.777161184E0
9.270483750E-1,-4.500690765E0,-8.601413269E0,7.884104919E-1,9.739718615E0
9.370053750E-1,-4.358935547E0,-8.672964478E0,8.135581970E-1,9.740765312E0
9.469623750E-1,-4.300257568E0,-8.730145569E0,8.544232178E-1,9.769221865E0
