"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.486820417E-1,3.652554474E0,-8.977281647E0,1.300794983E0,9.778793767E0
6.586390417E-1,3.658242645E0,-8.967851257E0,1.384470978E0,9.783754663E0
6.685970417E-1,3.748205566E0,-8.998387756E0,1.407672729E0,9.848937491E0
6.785540417E-1,3.758833466E0,-9.012308807E0,1.399439850E0,9.864530955E0
6.885110417E-1,3.733536072E0,-8.994645538E0,1.341061249E0,9.830635037E0
6.984680417E-1,3.712879028E0,-8.944350128E0,1.322799225E0,9.774286045E0
7.084250417E-1,3.785478058E0,-8.938811646E0,1.344953156E0,9.800055957E0
7.183830417E-1,3.867058411E0,-8.913813629E0,1.305285645E0,9.803774007E0
7.283400417E-1,3.939358063E0,-8.919501801E0,1.174607391E0,9.821189176E0
7.382970417E-1,4.034260712E0,-8.887318726E0,1.029858398E0,9.814290700E0
7.482540417E-1,4.075874176E0,-8.852291565E0,9.072633362E-1,9.787693447E0
7.582110417E-1,4.105063477E0,-8.851992188E0,7.929011536E-1,9.789688661E0
7.681690417E-1,4.100572815E0,-8.866212616E0,7.798782349E-1,9.799624157E0
7.781260417E-1,4.077820129E0,-8.889863434E0,8.372090149E-1,9.816272603E0
7.880830417E-1,4.061803436E0,-8.902586975E0,8.762777710E-1,9.824569443E0
7.980400417E-1,4.040996704E0,-8.891809387E0,8.904981995E-1,9.807492829E0
8.079980417E-1,4.010011139E0,-8.873547363E0,9.126521301E-1,9.780233436E0
8.179550417E-1,3.993246002E0,-8.857830048E0,9.406439209E-1,9.761760997E0
8.279120417E-1,3.990401917E0,-8.841214600E0,9.749226379E-1,9.748890050E0
8.378690417E-1,4.011807404E0,-8.862171021E0,1.001567230E0,9.779356357E0
8.478260417E-1,4.043541412E0,-8.892557831E0,1.015637970E0,9.821371208E0
8.577840417E-1,4.061803436E0,-8.927285614E0,1.038540344E0,9.862719789E0
8.677410417E-1,4.064048767E0,-8.953780518E0,1.060694275E0,9.889982320E0
