"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.261328333E-1,4.335883484E0,-8.958271179E0,4.770579529E-1,9.963839240E0
6.360908333E-1,4.342769165E0,-8.954678650E0,4.635859680E-1,9.962972734E0
6.460478333E-1,4.347708893E0,-8.959169312E0,4.285588074E-1,9.967594997E0
6.560048333E-1,4.342020721E0,-8.946445770E0,4.180805969E-1,9.953232000E0
6.659618333E-1,4.348906403E0,-8.920250244E0,4.061054993E-1,9.932208868E0
6.759188333E-1,4.346062317E0,-8.905281372E0,4.138893127E-1,9.917842424E0
6.858758333E-1,4.326902161E0,-8.888516235E0,4.418811035E-1,9.895608222E0
6.958328333E-1,4.304299164E0,-8.866362305E0,4.776567078E-1,9.867498555E0
7.057908333E-1,4.245172119E0,-8.834478607E0,4.885839844E-1,9.813674790E0
7.157478333E-1,4.211043091E0,-8.812025299E0,5.051994324E-1,9.779565443E0
7.257048333E-1,4.192930756E0,-8.828790436E0,4.968168640E-1,9.786472085E0
7.356618333E-1,4.170926514E0,-8.860374756E0,4.680766296E-1,9.804180972E0
7.456188333E-1,4.160747681E0,-8.845106506E0,4.665797424E-1,9.785981148E0
7.555758333E-1,4.137845306E0,-8.825197906E0,4.608915710E-1,9.757986622E0
7.655338333E-1,4.108506317E0,-8.814120941E0,4.875361633E-1,9.736849780E0
7.754908333E-1,4.099824371E0,-8.829538879E0,5.025050354E-1,9.747914034E0
7.854478333E-1,4.106859741E0,-8.860674133E0,5.152285767E-1,9.779739440E0
7.954048333E-1,4.122577057E0,-8.867859192E0,5.158273315E-1,9.792887525E0
8.053618333E-1,4.129013672E0,-8.883576508E0,5.038522339E-1,9.809207539E0
8.153188333E-1,4.142635345E0,-8.902586975E0,4.816983032E-1,9.831048556E0
8.252758333E-1,4.163591766E0,-8.936117249E0,4.836442566E-1,9.870339388E0
8.352338333E-1,4.176914062E0,-8.942404175E0,4.760101318E-1,9.881284793E0
8.451908333E-1,4.175866241E0,-8.941356354E0,4.643344116E-1,9.879337972E0
8.551478333E-1,4.176764374E0,-8.947792969E0,4.647834778E-1,9.885564391E0
8.651048333E-1,4.155358887E0,-8.936416626E0,4.712200928E-1,9.866539311E0
8.750618333E-1,4.154760132E0,-8.910370789E0,4.549040222E-1,9.841934617E0
8.850188333E-1,4.162394257E0,-8.895401917E0,4.580474854E-1,9.831760204E0
8.949768333E-1,4.163292389E0,-8.891510010E0,4.510121155E-1,9.828294140E0
9.049338333E-1,4.175417175E0,-8.881929932E0,4.424798584E-1,9.824386817E0
9.148908333E-1,4.167783051E0,-8.892108765E0,4.358935547E-1,9.830056817E0
9.248478333E-1,4.160148926E0,-8.889564056E0,4.505630493E-1,9.825181691E0
9.348048333E-1,4.164938965E0,-8.884923706E0,4.592449951E-1,9.823415486E0
9.447618333E-1,4.165088654E0,-8.888965302E0,4.734654236E-1,9.827809376E0
9.547198333E-1,4.158352661E0,-8.892108765E0,4.977149963E-1,9.828998695E0
9.646768333E-1,4.147575073E0,-8.891809387E0,5.337899780E-1,9.826066604E0
9.746338333E-1,4.133504333E0,-8.878936157E0,5.471122742E-1,9.809214913E0
9.845908333E-1,4.112098846E0,-8.855435028E0,5.397775269E-1,9.778519634E0
9.945478333E-1,4.107608185E0,-8.835825806E0,5.432203674E-1,9.759065070E0
1.004504833E0,4.099974060E0,-8.836873627E0,5.376818848E-1,9.756496533E0
1.014461833E0,4.103267212E0,-8.846902771E0,5.420228577E-1,9.767204269E0
1.024419833E0,4.105811920E0,-8.863817596E0,5.557942200E-1,9.784368202E0
1.034376833E0,4.111649780E0,-8.877588959E0,5.813909912E-1,9.800778802E0
1.044333833E0,4.126319275E0,-8.887618103E0,5.984555054E-1,9.817047178E0
1.054290833E0,4.133803711E0,-8.879684601E0,6.265969849E-1,9.814772311E0
1.064247833E0,4.132755890E0,-8.878487091E0,6.256988525E-1,9.813190273E0
1.074204833E0,4.135899353E0,-8.865464172E0,6.153703308E-1,9.802081365E0
1.084162833E0,4.126468964E0,-8.859925690E0,6.144721985E-1,9.793038620E0
1.094119833E0,4.132306824E0,-8.849148102E0,6.104306030E-1,9.785499851E0
1.104076833E0,4.132755890E0,-8.843759308E0,6.128256226E-1,9.780966475E0
1.114033833E0,4.137246552E0,-8.853040009E0,6.188131714E-1,9.791631946E0
1.123990833E0,4.146826630E0,-8.853638763E0,6.251000977E-1,9.796623938E0
1.133947833E0,4.159699860E0,-8.865613861E0,6.209088135E-1,9.812631646E0
1.143905833E0,4.162244568E0,-8.866212616E0,6.129753113E-1,9.813752836E0
1.153862833E0,4.170178070E0,-8.855884094E0,6.174659729E-1,9.808074860E0
1.163819833E0,4.176015930E0,-8.842262421E0,5.933660889E-1,9.796774831E0
1.173776833E0,4.191882935E0,-8.847651215E0,5.972579956E-1,9.808645761E0
1.183733833E0,4.194876709E0,-8.835975494E0,5.983058167E-1,9.799460362E0
1.193690833E0,4.178710327E0,-8.814570007E0,5.906716919E-1,9.772776343E0
1.203647833E0,4.150718536E0,-8.807384949E0,5.950126648E-1,9.754616039E0
1.213605833E0,4.130211182E0,-8.784781952E0,5.816903687E-1,9.724680048E0
1.223562833E0,4.123624878E0,-8.759634247E0,5.658233643E-1,9.698228207E0
1.233519833E0,4.158502350E0,-8.775800629E0,5.544470215E-1,9.727036032E0
1.243476833E0,4.199666748E0,-8.804091797E0,5.589376831E-1,9.770447507E0
1.253433833E0,4.219275970E0,-8.832083588E0,5.381309509E-1,9.802937067E0
1.263390833E0,4.231849823E0,-8.858279114E0,5.375321960E-1,9.831917547E0
1.273348833E0,4.227209473E0,-8.882678375E0,5.363346863E-1,9.851849062E0
1.283305833E0,4.226311340E0,-8.898695068E0,5.713618469E-1,9.867873926E0
1.293262833E0,4.221072235E0,-8.916208649E0,5.691165161E-1,9.881301589E0
1.303219833E0,4.231700134E0,-8.910071411E0,5.614823914E-1,9.879874546E0
1.313176833E0,4.232598267E0,-8.875044250E0,5.816903687E-1,9.849855949E0
1.323133833E0,4.248016205E0,-8.870254211E0,5.951623535E-1,9.852982781E0
1.333091833E0,4.254452820E0,-8.872499542E0,6.144721985E-1,9.858965108E0
1.343048833E0,4.267625427E0,-8.873846741E0,6.502478027E-1,9.868161175E0
1.353005833E0,4.259841614E0,-8.872200165E0,6.664141846E-1,9.864395278E0
1.362962833E0,4.249064026E0,-8.840017090E0,6.650669861E-1,9.830705028E0
1.372919833E0,4.218976593E0,-8.812624054E0,6.514453125E-1,9.792164582E0
1.382876833E0,4.189936981E0,-8.794511719E0,6.554869080E-1,9.763640272E0
1.392834833E0,4.197571106E0,-8.782386932E0,6.602769470E-1,9.756325592E0
1.402791833E0,4.217479706E0,-8.791817322E0,6.535409546E-1,9.772937259E0
1.412748833E0,4.257446594E0,-8.823850708E0,6.539900208E-1,9.819057784E0
1.422705833E0,4.276756439E0,-8.854087830E0,6.602769470E-1,9.855023216E0
1.432662833E0,4.270319824E0,-8.876241760E0,6.665638733E-1,9.872568388E0
1.442619833E0,4.237537994E0,-8.878337402E0,6.625222778E-1,9.860047619E0
1.452576833E0,4.222569122E0,-8.888067169E0,6.578819275E-1,9.862080745E0
1.462534833E0,4.209546204E0,-8.888067169E0,6.494993591E-1,9.855955898E0
1.472491833E0,4.217330017E0,-8.854087830E0,6.376739502E-1,9.827887455E0
1.482448833E0,4.228706360E0,-8.786727905E0,6.417155457E-1,9.772427723E0
1.492405833E0,4.234544220E0,-8.772058411E0,6.295907593E-1,9.760981407E0
1.502362833E0,4.253854065E0,-8.811576233E0,6.224057007E-1,9.804414259E0
1.512319833E0,4.270918579E0,-8.846004639E0,6.248007202E-1,9.842912146E0
1.522277833E0,4.276906128E0,-8.869805145E0,6.559359741E-1,9.868921995E0
1.532234833E0,4.273762665E0,-8.903934174E0,6.691085815E-1,9.899131142E0
1.542191833E0,4.266128540E0,-8.894354095E0,6.798861694E-1,9.887953919E0
1.552148833E0,4.238436127E0,-8.868907013E0,6.840774536E-1,9.853416380E0
1.562105833E0,4.204756165E0,-8.853638763E0,6.692582703E-1,9.824194643E0
1.572062833E0,4.186494141E0,-8.828491058E0,6.641688538E-1,9.793370606E0
1.582020833E0,4.155209198E0,-8.777596893E0,6.724017334E-1,9.734685141E0
1.591977833E0,4.136647797E0,-8.750203857E0,6.827302551E-1,9.702785329E0
1.601934833E0,4.118685150E0,-8.743916931E0,6.737489319E-1,9.688838335E0
1.611891833E0,4.137695618E0,-8.781189423E0,6.601272583E-1,9.729623872E0
1.621848833E0,4.179009705E0,-8.774154053E0,6.487509155E-1,9.740163202E0
1.631805833E0,4.190236359E0,-8.757837982E0,6.372248840E-1,9.729535570E0
1.641763833E0,4.202660522E0,-8.727750549E0,6.412664795E-1,9.708100114E0
1.651720833E0,4.196074219E0,-8.695417786E0,6.436614990E-1,9.676343805E0
1.661677833E0,4.192032623E0,-8.697812805E0,6.502478027E-1,9.677184886E0
1.671634833E0,4.208797760E0,-8.738228760E0,6.715036011E-1,9.722218755E0
1.681591833E0,4.237537994E0,-8.749156036E0,6.798861694E-1,9.745086188E0
1.691548833E0,4.262086945E0,-8.745413818E0,7.122189331E-1,9.754737505E0
1.701505833E0,4.283941498E0,-8.757987671E0,7.294331360E-1,9.776838727E0
