"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-6.491667591E-5,4.217330017E0,-8.788973236E0,1.042132874E0,9.803976945E0
9.893083334E-3,4.305047607E0,-8.784183197E0,9.080117798E-1,9.824448826E0
1.985008334E-2,4.396657104E0,-8.739875336E0,8.400531006E-1,9.819455371E0
2.980708332E-2,4.451592865E0,-8.702153778E0,8.128097534E-1,9.808405533E0
3.976408333E-2,4.465214539E0,-8.670569458E0,7.896080017E-1,9.784702162E0
4.972108333E-2,4.469106445E0,-8.652008057E0,7.758366394E-1,9.768934349E0
5.967808333E-2,4.491110687E0,-8.641230469E0,7.917036438E-1,9.770759125E0
6.963508333E-2,4.518054657E0,-8.637039185E0,8.348139954E-1,9.783055666E0
7.959308333E-2,4.520299988E0,-8.634943542E0,9.247769165E-1,9.790330654E0
8.955008333E-2,4.515659637E0,-8.635542297E0,1.015188904E0,9.797672236E0
9.950708333E-2,4.416715393E0,-8.675958252E0,1.085841980E0,9.795850104E0
1.094640833E-1,4.254752197E0,-8.715925140E0,1.130898285E0,9.764691405E0
1.194210833E-1,4.173171844E0,-8.753646698E0,1.193917236E0,9.770728331E0
1.293780833E-1,4.187841339E0,-8.784482574E0,1.260079651E0,9.812897121E0
1.393360833E-1,4.275259552E0,-8.773106232E0,1.324146423E0,9.848786775E0
1.492930833E-1,4.382436676E0,-8.732690277E0,1.348994751E0,9.863337038E0
1.592505833E-1,4.407883759E0,-8.718320160E0,1.305884399E0,9.856159480E0
1.692075833E-1,4.374652863E0,-8.740474091E0,1.237476654E0,9.852148165E0
1.791645833E-1,4.334236908E0,-8.754245453E0,1.153650970E0,9.836327241E0
1.891215833E-1,4.338577881E0,-8.748706970E0,1.091679840E0,9.826235116E0
1.990785833E-1,4.354295197E0,-8.729546814E0,1.036295013E0,9.810136675E0
2.090365833E-1,4.411027222E0,-8.718170471E0,1.055754547E0,9.827424646E0
2.189935833E-1,4.442012787E0,-8.692573700E0,1.073567505E0,9.820634517E0
2.289505833E-1,4.450844421E0,-8.739276581E0,1.043629761E0,9.862765043E0
2.389075833E-1,4.490811310E0,-8.799301758E0,1.005908203E0,9.930103170E0
2.488645833E-1,4.494104462E0,-8.762628021E0,1.012344818E0,9.899771047E0
2.588215833E-1,4.457281036E0,-8.677155762E0,1.082249451E0,9.814868834E0
2.687785833E-1,4.369713135E0,-8.566984863E0,1.157991943E0,9.686514743E0
2.787365833E-1,4.331093445E0,-8.510402527E0,1.178499298E0,9.621547806E0
2.886935833E-1,4.360133057E0,-8.587492218E0,1.140927429E0,9.698324508E0
2.986505833E-1,4.378844147E0,-8.700357513E0,1.076860657E0,9.799496201E0
3.086075833E-1,4.350702667E0,-8.742569733E0,1.043480072E0,9.820895575E0
3.185645833E-1,4.333039398E0,-8.732241211E0,1.056952057E0,9.805325831E0
3.285215833E-1,4.353846130E0,-8.674161987E0,1.109193420E0,9.768693482E0
3.384785833E-1,4.410428467E0,-8.663085022E0,1.152603149E0,9.789249991E0
3.484365833E-1,4.469405823E0,-8.674910431E0,1.178199921E0,9.829436120E0
3.583935833E-1,4.480333099E0,-8.696465607E0,1.201701050E0,9.856266237E0
3.683505833E-1,4.473148041E0,-8.703201599E0,1.184786224E0,9.856900622E0
3.783075833E-1,4.472249908E0,-8.713380432E0,1.194815369E0,9.866691521E0
3.882645833E-1,4.436923370E0,-8.704399109E0,1.199605408E0,9.843368629E0
3.982215833E-1,4.389472046E0,-8.696764984E0,1.206341400E0,9.816131906E0
4.081795833E-1,4.377347260E0,-8.699010315E0,1.189725952E0,9.810677720E0
4.181365833E-1,4.383185120E0,-8.709787903E0,1.160536652E0,9.819346334E0
4.280935833E-1,4.388424225E0,-8.720565491E0,1.129102020E0,9.827583682E0
4.380505833E-1,4.462071075E0,-8.742120667E0,1.122815094E0,9.879041743E0
4.480075833E-1,4.539609833E0,-8.764124908E0,1.149160309E0,9.936725429E0
4.579645833E-1,4.594695282E0,-8.784033508E0,1.204694824E0,9.986078261E0
4.679215833E-1,4.583169250E0,-8.741671600E0,1.247805176E0,9.948833123E0
4.778795833E-1,4.518503723E0,-8.670419769E0,1.238823853E0,9.855340654E0
4.878365833E-1,4.444407806E0,-8.668773193E0,1.130299530E0,9.807036579E0
4.977935833E-1,4.307292938E0,-8.723858643E0,9.824070740E-1,9.778732317E0
5.077505833E-1,4.153412933E0,-8.702004089E0,9.386979675E-1,9.687975436E0
5.177075833E-1,4.265380096E0,-8.706794128E0,9.454339600E-1,9.741436071E0
5.276645833E-1,4.445006561E0,-8.753946075E0,9.379495239E-1,9.862525261E0
5.376215833E-1,4.496050415E0,-8.737929382E0,9.225315857E-1,9.870002216E0
5.475795833E-1,4.472249908E0,-8.690777435E0,8.467890930E-1,9.810590372E0
5.575365833E-1,4.408482513E0,-8.622669067E0,7.354206848E-1,9.712156480E0
5.674935833E-1,4.296515350E0,-8.577313385E0,6.397695923E-1,9.614554290E0
5.774505833E-1,4.351151733E0,-8.668174438E0,7.086264038E-1,9.724809555E0
5.874075833E-1,4.279001770E0,-8.687035217E0,8.497828674E-1,9.720934520E0
5.973645833E-1,4.142785034E0,-8.712182922E0,9.776170349E-1,9.696418626E0
6.073215833E-1,4.101920013E0,-8.737180939E0,1.090482330E0,9.713559094E0
6.172795833E-1,4.133055267E0,-8.780291290E0,1.187480621E0,9.776797595E0
6.272365833E-1,4.205654297E0,-8.830137634E0,1.255289612E0,9.860761163E0
6.371935833E-1,4.271816711E0,-8.857979736E0,1.273102570E0,9.916300378E0
6.471505833E-1,4.280798035E0,-8.854237518E0,1.303040314E0,9.920719122E0
6.571075833E-1,4.242028656E0,-8.822952576E0,1.316661987E0,9.877899476E0
6.670645833E-1,4.212539978E0,-8.803343353E0,1.301543427E0,9.845728137E0
