"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-3.820416659E-4,-4.278253326E0,-8.750802612E0,8.692424011E-1,9.779344571E0
9.574958334E-3,-4.280798035E0,-8.815917206E0,7.589218140E-1,9.829628188E0
1.953195833E-2,-4.199517059E0,-8.812025299E0,7.214996338E-1,9.788171184E0
2.948995833E-2,-4.108955383E0,-8.769364014E0,7.435038757E-1,9.712778056E0
3.944695833E-2,-4.040996704E0,-8.711284790E0,8.473878479E-1,9.640238753E0
4.940395833E-2,-4.009861450E0,-8.683442688E0,1.013841705E0,9.618162027E0
5.936095833E-2,-4.074077911E0,-8.683742065E0,1.169368286E0,9.662965863E0
6.931795833E-2,-4.144281921E0,-8.717422028E0,1.231938171E0,9.730682972E0
7.927595833E-2,-4.199816437E0,-8.751101990E0,1.197360077E0,9.780281964E0
8.923295833E-2,-4.269571381E0,-8.783285065E0,1.071172485E0,9.824599065E0
9.918995833E-2,-4.315974884E0,-8.802295532E0,9.304650879E-1,9.847528173E0
1.091469583E-1,-4.319717102E0,-8.816965027E0,8.743318176E-1,9.857143818E0
1.191049583E-1,-4.293671265E0,-8.793164520E0,8.379574585E-1,9.821279342E0
1.290619583E-1,-4.274660797E0,-8.760233002E0,8.550219727E-1,9.784961408E0
1.390189583E-1,-4.244273987E0,-8.730894012E0,9.319619751E-1,9.752483020E0
1.489759583E-1,-4.284689941E0,-8.714877319E0,1.006956024E0,9.763278907E0
1.589339583E-1,-4.353247375E0,-8.725355530E0,1.049018555E0,9.807294824E0
1.688909583E-1,-4.378844147E0,-8.749904480E0,1.070274353E0,9.842793895E0
1.788479583E-1,-4.381688232E0,-8.725654907E0,1.049467621E0,9.820266168E0
1.888049583E-1,-4.381987610E0,-8.691525879E0,1.002165985E0,9.785130259E0
1.987619583E-1,-4.399052124E0,-8.684041443E0,9.366023254E-1,9.779645151E0
2.087199583E-1,-4.342020721E0,-8.718469849E0,9.068142700E-1,9.781982037E0
2.186769583E-1,-4.261637878E0,-8.735833740E0,8.768765259E-1,9.759367858E0
2.286339583E-1,-4.221670990E0,-8.742569733E0,8.460406494E-1,9.745297135E0
2.385909583E-1,-4.193978577E0,-8.745114441E0,8.213420105E-1,9.733503253E0
2.485489583E-1,-4.231251068E0,-8.784931641E0,8.348139954E-1,9.786491912E0
2.585059583E-1,-4.243076477E0,-8.795559540E0,8.569679260E-1,9.803058688E0
2.684629583E-1,-4.260140991E0,-8.763675842E0,8.818162537E-1,9.784089914E0
2.784199583E-1,-4.274361420E0,-8.751700745E0,8.987310791E-1,9.781111850E0
2.883769583E-1,-4.259392548E0,-8.750503235E0,9.032217407E-1,9.773921488E0
2.983349583E-1,-4.261039124E0,-8.761280823E0,8.946894836E-1,9.783504757E0
3.082913333E-1,-4.281696167E0,-8.825946350E0,8.749305725E-1,9.848642269E0
3.182483333E-1,-4.239633636E0,-8.854985962E0,8.782237244E-1,9.856802051E0
3.282053333E-1,-4.199966125E0,-8.828790436E0,9.148974609E-1,9.819587231E0
3.381633333E-1,-4.170627136E0,-8.761729889E0,9.089099121E-1,9.746186874E0
3.481203333E-1,-4.208049316E0,-8.676706696E0,9.107061768E-1,9.686191402E0
