"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.280979167E-2,-4.310436401E0,-8.716224518E0,3.290158081E-1,9.729372190E0
3.276779167E-2,-4.217180328E0,-8.724607086E0,2.665956116E-1,9.694042085E0
4.272479167E-2,-4.147126007E0,-8.763226776E0,2.505789185E-1,9.698225995E0
5.268179167E-2,-4.110601959E0,-8.809181213E0,2.980302429E-1,9.725612790E0
6.263879167E-2,-4.091441803E0,-8.816066895E0,4.034111023E-1,9.727572772E0
7.259679167E-2,-4.105063477E0,-8.800050201E0,5.640270996E-1,9.726795786E0
8.255379167E-2,-4.154909821E0,-8.796457672E0,7.476951599E-1,9.757048286E0
9.251079167E-2,-4.219725037E0,-8.804091797E0,8.990304565E-1,9.804405516E0
1.024677917E-1,-4.298012238E0,-8.795709229E0,1.026415558E0,9.843319507E0
1.124257917E-1,-4.359983368E0,-8.779093781E0,1.091081085E0,9.862677147E0
1.223827917E-1,-4.351451111E0,-8.754544830E0,1.113534393E0,9.839570153E0
1.323397917E-1,-4.321213989E0,-8.773255920E0,1.089135132E0,9.840179120E0
1.422977917E-1,-4.300856323E0,-8.820856934E0,1.027463379E0,9.867145644E0
1.522547917E-1,-4.234095154E0,-8.823102264E0,9.216334534E-1,9.829756028E0
1.622117917E-1,-4.177213440E0,-8.816665649E0,8.208929443E-1,9.790636880E0
1.721687917E-1,-4.147425385E0,-8.799002380E0,7.111711121E-1,9.753427324E0
1.821267917E-1,-4.210743713E0,-8.818312225E0,6.246510315E-1,9.791995815E0
1.920837917E-1,-4.271517334E0,-8.842112732E0,5.556445312E-1,9.835525342E0
2.020407917E-1,-4.262086945E0,-8.794212341E0,5.420228577E-1,9.787611793E0
2.119977917E-1,-4.166286163E0,-8.750353546E0,5.560935974E-1,9.707516040E0
2.219557917E-1,-4.099225616E0,-8.756939850E0,6.041436768E-1,9.687757004E0
2.319127917E-1,-4.125720520E0,-8.785380707E0,6.656657410E-1,9.728699546E0
2.418697917E-1,-4.207151184E0,-8.803792419E0,7.487429810E-1,9.786086966E0
2.518277917E-1,-4.268224182E0,-8.797206116E0,8.204438782E-1,9.812323948E0
2.617847917E-1,-4.280947723E0,-8.775201874E0,8.848100281E-1,9.803752859E0
2.717417917E-1,-4.300556946E0,-8.778045959E0,9.193881226E-1,9.818052527E0
2.816987917E-1,-4.310735779E0,-8.785081329E0,9.138496399E-1,9.828286630E0
2.916567917E-1,-4.327201538E0,-8.791967010E0,8.785231018E-1,9.838453126E0
3.016137917E-1,-4.318519592E0,-8.800798645E0,8.391549683E-1,9.839097993E0
3.115707917E-1,-4.251758423E0,-8.778944092E0,7.970924377E-1,9.786861877E0
3.215277917E-1,-4.189188538E0,-8.763376465E0,7.548802185E-1,9.742479757E0
3.314857917E-1,-4.160148926E0,-8.764274597E0,7.057823181E-1,9.727151535E0
3.414427917E-1,-4.186194763E0,-8.772956543E0,6.891668701E-1,9.744944539E0
3.513997917E-1,-4.213138733E0,-8.773106232E0,6.683601379E-1,9.755236348E0
3.613577917E-1,-4.233795776E0,-8.754245453E0,6.706054688E-1,9.747386923E0
3.713147917E-1,-4.260889435E0,-8.755442963E0,6.858737183E-1,9.761320761E0
3.812717917E-1,-4.311484222E0,-8.753497009E0,7.077282715E-1,9.783326908E0
3.912287917E-1,-4.318818970E0,-8.778794403E0,7.349716187E-1,9.811198283E0
4.011867917E-1,-4.253854065E0,-8.798852692E0,7.634124756E-1,9.802952703E0
4.111437917E-1,-4.155209198E0,-8.807534637E0,7.878117371E-1,9.770316126E0
4.211007917E-1,-4.123475189E0,-8.816515961E0,8.041278076E-1,9.766300367E0
4.310577917E-1,-4.167483673E0,-8.811127167E0,8.042774963E-1,9.780119856E0
4.410157917E-1,-4.206253052E0,-8.785380707E0,7.849676514E-1,9.771983070E0
4.509727917E-1,-4.214485931E0,-8.772956543E0,7.876620483E-1,9.764582412E0
4.609297917E-1,-4.218377838E0,-8.782087555E0,7.824229431E-1,9.774045174E0
4.708877917E-1,-4.244273987E0,-8.824449463E0,7.571255493E-1,9.821303839E0
4.808447917E-1,-4.223018188E0,-8.868607635E0,7.411088562E-1,9.850651062E0
4.908017917E-1,-4.117337952E0,-8.884025574E0,7.228468323E-1,9.818395477E0
5.007587917E-1,-4.058510284E0,-8.921148376E0,7.032376099E-1,9.826135416E0
5.107167917E-1,-4.014950867E0,-8.923393707E0,6.824308777E-1,9.808796951E0
5.206737917E-1,-4.038002930E0,-8.935967560E0,6.692582703E-1,9.828778689E0
5.306307917E-1,-4.038601685E0,-8.917855225E0,6.689588928E-1,9.812540516E0
5.405877917E-1,-4.029171295E0,-8.867709503E0,6.755451965E-1,9.763547228E0
5.505457917E-1,-4.081562347E0,-8.840316467E0,7.023394775E-1,9.762357665E0
5.605027917E-1,-4.104315033E0,-8.827742615E0,7.373666382E-1,9.763101511E0
5.704597917E-1,-4.072131958E0,-8.810229034E0,7.682025146E-1,9.736145512E0
5.804177917E-1,-4.005370789E0,-8.774154053E0,8.201445007E-1,9.679948941E0
5.903747917E-1,-4.079466705E0,-8.775950317E0,8.412506104E-1,9.714270696E0
6.003317917E-1,-4.172573090E0,-8.758137360E0,8.449928284E-1,9.738036202E0
6.102887917E-1,-4.189338226E0,-8.697962494E0,8.199948120E-1,9.689040087E0
6.202467917E-1,-4.252656555E0,-8.696914673E0,7.870632935E-1,9.712923413E0
6.302037917E-1,-4.380790100E0,-8.766519928E0,7.442523193E-1,9.828382627E0
6.401605417E-1,-4.490811310E0,-8.792565765E0,7.101232910E-1,9.898528883E0
6.501175417E-1,-4.559219055E0,-8.748257904E0,6.758445740E-1,9.888137369E0
6.600755417E-1,-4.582271118E0,-8.663234711E0,6.596781921E-1,9.822627936E0
6.700325417E-1,-4.579576721E0,-8.624465332E0,6.478527832E-1,9.786400689E0
6.799895417E-1,-4.569098511E0,-8.660091248E0,6.554869080E-1,9.813434909E0
6.899475417E-1,-4.505929871E0,-8.694968719E0,6.750961304E-1,9.816396478E0
6.999045417E-1,-4.361480255E0,-8.732390900E0,6.756948853E-1,9.784361217E0
7.098615417E-1,-4.229754181E0,-8.766968994E0,6.634204102E-1,9.756571755E0
7.198185417E-1,-4.172872467E0,-8.779093781E0,6.472540283E-1,9.741883289E0
7.297765417E-1,-4.174968109E0,-8.777447205E0,6.493496704E-1,9.741436913E0
7.397335417E-1,-4.200265503E0,-8.770262146E0,6.691085815E-1,9.747175729E0
7.496905417E-1,-4.220174103E0,-8.741970978E0,6.882687378E-1,9.731682274E0
7.596475417E-1,-4.246369629E0,-8.748557281E0,7.376660156E-1,9.752592511E0
7.696055417E-1,-4.276756439E0,-8.772806854E0,7.625143433E-1,9.789495077E0
7.795625417E-1,-4.290527802E0,-8.774752808E0,7.912545776E-1,9.799540778E0
7.895195417E-1,-4.261039124E0,-8.743318176E0,8.077203369E-1,9.759840126E0
7.994775417E-1,-4.241130524E0,-8.748108215E0,8.072712708E-1,9.755422716E0
8.094345417E-1,-4.225712585E0,-8.797655182E0,8.087681580E-1,9.793339037E0
8.193915417E-1,-4.237238617E0,-8.851692810E0,8.012837219E-1,9.846253719E0
8.293485417E-1,-4.259093170E0,-8.846453705E0,7.774832153E-1,9.849065841E0
8.393065417E-1,-4.282594299E0,-8.812773743E0,7.327262878E-1,9.825603431E0
8.492635417E-1,-4.292623444E0,-8.779542847E0,6.827302551E-1,9.796586611E0
8.592205417E-1,-4.277654572E0,-8.762178955E0,6.524931335E-1,9.772402773E0
8.691775417E-1,-4.224215698E0,-8.760083313E0,6.438111877E-1,9.746668701E0
8.791355417E-1,-4.176165619E0,-8.789571991E0,6.524931335E-1,9.753085786E0
8.890925417E-1,-4.114942932E0,-8.812174988E0,6.626719666E-1,9.748144310E0
8.990495417E-1,-4.086352386E0,-8.837472382E0,6.643185425E-1,9.759124605E0
9.090075417E-1,-4.090543671E0,-8.862470398E0,6.713539124E-1,9.783999446E0
9.189645417E-1,-4.127217407E0,-8.887318726E0,6.735992432E-1,9.822020851E0
9.289215417E-1,-4.138144684E0,-8.858279114E0,6.783892822E-1,9.800691930E0
9.388785417E-1,-4.088597717E0,-8.846004639E0,6.968009949E-1,9.770054298E0
9.488365417E-1,-4.021986237E0,-8.860524445E0,7.357200623E-1,9.758409232E0
9.587935417E-1,-3.988306274E0,-8.881630554E0,7.620652771E-1,9.765791915E0
9.687505417E-1,-3.994892578E0,-8.899443512E0,7.708969116E-1,9.785373962E0
9.787085417E-1,-4.017495575E0,-8.860374756E0,7.845185852E-1,9.760224430E0
9.886655417E-1,-4.056863708E0,-8.827742615E0,7.929011536E-1,9.747608684E0
9.986225417E-1,-4.108057251E0,-8.817114716E0,7.918533325E-1,9.759337989E0
1.008579542E0,-4.125720520E0,-8.811875610E0,7.848179626E-1,9.761488658E0
1.018537542E0,-4.170028381E0,-8.810229034E0,8.065228271E-1,9.780580321E0
1.028494542E0,-4.211192780E0,-8.809330902E0,7.999365234E-1,9.796854292E0
1.038451542E0,-4.235741730E0,-8.787476349E0,8.111631775E-1,9.788729963E0
1.048408542E0,-4.268224182E0,-8.774004364E0,8.051756287E-1,9.790260366E0
1.058366542E0,-4.278702393E0,-8.768465881E0,7.946974182E-1,9.789015888E0
1.068323542E0,-4.266577606E0,-8.780141602E0,8.069718933E-1,9.795191404E0
1.078280542E0,-4.226311340E0,-8.792266388E0,8.256829834E-1,9.790168955E0
1.088238542E0,-4.149071960E0,-8.832083588E0,8.511300659E-1,9.795147830E0
1.098195542E0,-4.038302307E0,-8.853489075E0,8.554710388E-1,9.768520104E0
1.108152542E0,-3.984863434E0,-8.892408142E0,8.068222046E-1,9.777782020E0
1.118109542E0,-3.993395691E0,-8.931327209E0,7.481442261E-1,9.812009715E0
1.128067542E0,-3.978875885E0,-8.926237793E0,6.791377258E-1,9.796448463E0
1.138024542E0,-3.921844482E0,-8.916508026E0,6.581813049E-1,9.763103101E0
1.147981542E0,-3.858825531E0,-8.946146393E0,6.253994751E-1,9.762950080E0
1.157938542E0,-3.788172455E0,-8.959768066E0,5.948629761E-1,9.745848158E0
1.167896542E0,-3.748654633E0,-8.913065186E0,5.921685791E-1,9.687404512E0
1.177853542E0,-3.764222260E0,-8.863218842E0,6.330335999E-1,9.650220152E0
1.187810542E0,-3.943249969E0,-8.869056702E0,7.030879211E-1,9.731583619E0
1.197768542E0,-4.285887451E0,-8.809779968E0,7.864645386E-1,9.828508575E0
1.207725542E0,-4.576283569E0,-8.697214050E0,9.174421692E-1,9.870440906E0
1.217682542E0,-4.767735443E0,-8.610394592E0,1.059796143E0,9.899159770E0
1.227639542E0,-4.903353424E0,-8.576415253E0,1.142873383E0,9.945045649E0
1.237597542E0,-4.934039612E0,-8.560997314E0,1.185983734E0,9.951983688E0
1.247554542E0,-4.931045837E0,-8.541388092E0,1.158590698E0,9.930400596E0
1.257511542E0,-4.820575562E0,-8.516988831E0,1.106349335E0,9.848911429E0
1.267469542E0,-4.540358276E0,-8.488398285E0,1.012494507E0,9.679509484E0
1.277426542E0,-4.232149200E0,-8.492589569E0,9.093589783E-1,9.532161255E0
1.287383542E0,-4.025878143E0,-8.485254822E0,8.012837219E-1,9.425990654E0
1.297340542E0,-3.934268646E0,-8.531957703E0,6.753955078E-1,9.419603554E0
1.307298542E0,-4.022584991E0,-8.704249420E0,5.682183838E-1,9.605624400E0
1.317255542E0,-4.166136475E0,-8.826844482E0,4.650828552E-1,9.771702958E0
1.327212542E0,-4.276007996E0,-8.904083862E0,4.185296631E-1,9.886461495E0
1.337169542E0,-4.331093445E0,-8.953181763E0,3.917353821E-1,9.953456219E0
1.347127542E0,-4.334386597E0,-8.939111023E0,3.686833191E-1,9.941355061E0
1.357084542E0,-4.294419708E0,-8.895701294E0,3.504212952E-1,9.884246923E0
1.367041542E0,-4.207300873E0,-8.873547363E0,3.266207886E-1,9.825879329E0
1.376999542E0,-4.133055267E0,-8.850345612E0,3.309617615E-1,9.773448674E0
1.386956542E0,-4.086502075E0,-8.848848724E0,3.487747192E-1,9.753115746E0
