"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.374261667E-1,4.102518768E0,-8.848100281E0,9.913883972E-1,9.803182635E0
6.473831667E-1,4.109853516E0,-8.866811371E0,1.002615051E0,9.824279961E0
6.573401667E-1,4.102069702E0,-8.882977753E0,1.009949799E0,9.836374748E0
6.672971667E-1,4.097279663E0,-8.891809387E0,9.981243896E-1,9.841149685E0
6.772541667E-1,4.082909546E0,-8.878786469E0,9.937834167E-1,9.822963147E0
6.872121667E-1,4.060156860E0,-8.850644989E0,9.964778137E-1,9.788348098E0
6.971691667E-1,4.037553864E0,-8.841663666E0,9.924362183E-1,9.770454812E0
7.071261667E-1,4.042044525E0,-8.838520203E0,1.006956024E0,9.770953063E0
7.170831667E-1,4.047283630E0,-8.847351837E0,1.026565247E0,9.783147526E0
7.270411667E-1,4.047283630E0,-8.851393433E0,1.034049683E0,9.787590573E0
7.369981667E-1,4.054768066E0,-8.841963043E0,1.022823029E0,9.780982644E0
7.469551667E-1,4.058659973E0,-8.849896545E0,9.919871521E-1,9.786594308E0
7.569121667E-1,4.059258728E0,-8.838220825E0,9.620494080E-1,9.773293602E0
7.668685833E-1,4.064048767E0,-8.830586700E0,9.114546204E-1,9.763529248E0
7.768265833E-1,4.069138184E0,-8.831784210E0,8.896000671E-1,9.764716390E0
7.867835833E-1,4.083508301E0,-8.843609619E0,8.743318176E-1,9.780026956E0
7.967405833E-1,4.101920013E0,-8.859476624E0,8.949888611E-1,9.803931808E0
8.066975833E-1,4.130360870E0,-8.910071411E0,9.443861389E-1,9.866160279E0
8.166555833E-1,4.160148926E0,-8.977431335E0,9.862989807E-1,9.943535495E0
8.266125833E-1,4.176614685E0,-9.033265228E0,1.013242950E0,1.000353199E1
8.365695833E-1,4.167932739E0,-9.074130249E0,1.018332367E0,1.003735542E1
8.465265833E-1,4.157903595E0,-9.084458771E0,1.017434235E0,1.004244621E1
8.564835833E-1,4.127965851E0,-9.077573090E0,1.002016296E0,1.002229873E1
8.664415833E-1,4.089944916E0,-9.024583282E0,1.001417542E0,9.958593773E0
8.763985833E-1,4.046385498E0,-8.965156860E0,9.952803040E-1,9.886245800E0
8.863555833E-1,4.014501801E0,-8.915609894E0,9.942324829E-1,9.828164768E0
8.963125833E-1,3.964805145E0,-8.850495300E0,9.912387085E-1,9.748512762E0
9.062705833E-1,3.947141876E0,-8.820557556E0,9.848020935E-1,9.713495754E0
9.162275833E-1,3.941753082E0,-8.812025299E0,9.807604980E-1,9.703148890E0
9.261845833E-1,3.951482849E0,-8.799152069E0,9.710307312E-1,9.694441424E0
9.361415833E-1,3.956721954E0,-8.807534637E0,9.457333374E-1,9.701686789E0
9.460995833E-1,3.980522461E0,-8.829987946E0,9.083111572E-1,9.728220564E0
9.560565833E-1,4.016298065E0,-8.869954834E0,8.502319336E-1,9.773926706E0
9.660135833E-1,4.037404175E0,-8.896898804E0,7.890092468E-1,9.801937379E0
9.759705833E-1,4.071383514E0,-8.922794952E0,7.533833313E-1,9.836667115E0
9.859275833E-1,4.081113281E0,-8.943751373E0,7.137158203E-1,9.856752230E0
9.958855833E-1,4.087100830E0,-8.940158844E0,6.902146912E-1,9.854300060E0
1.005842583E0,4.091741180E0,-8.935069427E0,6.789880371E-1,9.850829220E0
1.015799583E0,4.067491608E0,-8.915310516E0,6.626719666E-1,9.821730179E0
1.025756583E0,4.060156860E0,-8.883277130E0,6.629713440E-1,9.789638262E0
1.035714583E0,4.059857483E0,-8.860225067E0,6.590794373E-1,9.768337460E0
1.045671583E0,4.057911530E0,-8.834328918E0,6.783892822E-1,9.745369436E0
1.055628583E0,4.057163086E0,-8.818611603E0,6.948550415E-1,9.731973409E0
1.065585583E0,4.072281647E0,-8.804091797E0,7.081773376E-1,9.726100211E0
1.075542583E0,4.088298340E0,-8.809779968E0,7.316784668E-1,9.739700190E0
1.085500583E0,4.096680908E0,-8.834777985E0,7.571255493E-1,9.767770247E0
1.095457583E0,4.114044800E0,-8.869206390E0,7.824229431E-1,9.808178846E0
1.105414583E0,4.121828613E0,-8.847950592E0,8.289761353E-1,9.796065651E0
1.115371583E0,4.204157410E0,-8.816216583E0,8.854087830E-1,9.807372894E0
1.125329583E0,4.352947998E0,-8.782087555E0,9.267228699E-1,9.845406714E0
1.135286583E0,4.434528351E0,-8.736282806E0,9.535171509E-1,9.843620976E0
1.145243583E0,4.457131348E0,-8.706943817E0,9.566606140E-1,9.828127493E0
1.155200583E0,4.463268585E0,-8.683742065E0,9.377998352E-1,9.808547867E0
1.165157583E0,4.476141815E0,-8.685388641E0,9.195378113E-1,9.814141388E0
