"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.300145833E-1,4.107757874E0,-8.885223083E0,4.279600525E-1,9.798163797E0
6.399715833E-1,4.199966125E0,-8.922495575E0,3.782633972E-1,9.868825966E0
6.499285833E-1,4.336931305E0,-8.916058960E0,2.996768188E-1,9.919419676E0
6.598865833E-1,4.373455353E0,-8.926537170E0,1.691482544E-1,9.941769898E0
6.698435833E-1,4.354295197E0,-8.953630829E0,1.119671631E-1,9.956903551E0
6.798005833E-1,4.353097687E0,-8.997789001E0,1.552272034E-1,9.996687545E0
6.897575833E-1,4.356390839E0,-9.039103088E0,2.032772827E-1,1.003617693E1
6.997145833E-1,4.351002045E0,-9.038504333E0,2.020797729E-1,1.003327542E1
7.096715833E-1,4.347259827E0,-8.998836823E0,1.883084106E-1,9.995658668E0
7.196285833E-1,4.307742004E0,-8.954379272E0,1.962419128E-1,9.938614603E0
7.295865833E-1,4.241878967E0,-8.919352112E0,2.339634705E-1,9.879429041E0
7.395435833E-1,4.187691650E0,-8.871751099E0,2.540217590E-1,9.813727934E0
7.495005833E-1,4.156107330E0,-8.803942108E0,2.589614868E-1,9.739080338E0
7.594575833E-1,4.115691376E0,-8.747808838E0,2.731819153E-1,9.671489199E0
7.694145833E-1,4.087849274E0,-8.710236969E0,3.038681030E-1,9.626581718E0
7.793715833E-1,4.082909546E0,-8.694968719E0,3.197351074E-1,9.611184211E0
7.893285833E-1,4.094285889E0,-8.721763000E0,3.547622681E-1,9.641482409E0
7.992865833E-1,4.128265228E0,-8.760382690E0,3.505709839E-1,9.690705789E0
8.092435833E-1,4.170926514E0,-8.799152069E0,3.129991150E-1,9.742672814E0
8.192005833E-1,4.199816437E0,-8.857680359E0,2.956352234E-1,9.807362521E0
8.291575833E-1,4.246968384E0,-8.900042267E0,2.317181396E-1,9.864136359E0
8.391145833E-1,4.287384338E0,-8.930129700E0,1.910028076E-1,9.907843509E0
8.490715833E-1,4.327351227E0,-8.929680634E0,1.348695374E-1,9.923878005E0
8.590285833E-1,4.343517609E0,-8.940757599E0,1.023870850E-1,9.940511796E0
8.689865833E-1,4.346212006E0,-8.966803436E0,1.190025330E-1,9.965304023E0
8.789435833E-1,4.336482239E0,-8.956923981E0,1.326242065E-1,9.952344175E0
8.889005833E-1,4.313130798E0,-8.926986237E0,1.410067749E-1,9.915344848E0
8.988580000E-1,4.293371887E0,-8.876690826E0,1.561253357E-1,9.861696472E0
9.088150000E-1,4.289180603E0,-8.825796661E0,1.757345581E-1,9.814409793E0
9.187720000E-1,4.262086945E0,-8.780141602E0,1.842668152E-1,9.761671267E0
9.287290000E-1,4.240082703E0,-8.730145569E0,1.935475159E-1,9.707275808E0
9.386870000E-1,4.227059784E0,-8.685538330E0,2.119592285E-1,9.661859925E0
9.486440000E-1,4.210743713E0,-8.671467590E0,2.525248718E-1,9.643053541E0
9.586010000E-1,4.187242584E0,-8.694669342E0,3.405418396E-1,9.656409487E0
9.685580000E-1,4.168531494E0,-8.738378448E0,4.427792358E-1,9.691850503E0
9.785150000E-1,4.163741455E0,-8.790619812E0,5.071453857E-1,9.740068584E0
9.884720000E-1,4.177812195E0,-8.846753082E0,5.159770203E-1,9.797213232E0
9.984290000E-1,4.208797760E0,-8.898395691E0,4.608915710E-1,9.854331306E0
1.008387000E0,4.263434143E0,-8.937165070E0,3.866459656E-1,9.909555251E0
1.018344000E0,4.296365662E0,-8.949289856E0,3.100053406E-1,9.932001316E0
1.028301000E0,4.315376129E0,-8.940158844E0,2.495310974E-1,9.930316060E0
1.038258000E0,4.311633911E0,-8.907676392E0,2.061213684E-1,9.898452995E0
1.048215000E0,4.288132782E0,-8.873697052E0,1.829196167E-1,9.857182240E0
1.058172000E0,4.266427917E0,-8.817713470E0,1.776805115E-1,9.797246980E0
1.068129000E0,4.244872742E0,-8.769214325E0,1.597178650E-1,9.743899336E0
1.078087000E0,4.228406982E0,-8.724307709E0,1.115180969E-1,9.695638550E0
1.088044000E0,4.217030640E0,-8.690927124E0,7.559280396E-2,9.660293782E0
1.098001000E0,4.227359161E0,-8.679401093E0,6.017486572E-2,9.654335286E0
1.107958000E0,4.257446594E0,-8.708141327E0,7.110214233E-2,9.693432436E0
1.117915000E0,4.287084961E0,-8.765771484E0,9.190887451E-2,9.758396099E0
1.127872000E0,4.325554962E0,-8.849597168E0,1.151106262E-1,9.850839874E0
1.137829000E0,4.370012512E0,-8.908574524E0,1.228944397E-1,9.923447609E0
1.147787000E0,4.378844147E0,-8.933273163E0,1.255888367E-1,9.949543609E0
1.157744000E0,4.379442902E0,-8.927884369E0,1.046324158E-1,9.944726611E0
1.167701000E0,4.351451111E0,-8.871002655E0,6.765930176E-2,9.881011722E0
1.177658000E0,4.334087219E0,-8.819509735E0,4.700225830E-2,9.827017513E0
1.187615000E0,4.313579865E0,-8.809779968E0,2.903961182E-2,9.809181293E0
1.197572000E0,4.320166168E0,-8.794511719E0,3.487747192E-2,9.798392140E0
1.207530000E0,4.322411499E0,-8.791068878E0,7.185058594E-2,9.796494051E0
1.217487000E0,4.314477997E0,-8.773854675E0,1.011895752E-1,9.777805765E0
1.227444000E0,4.288881226E0,-8.750054169E0,1.212478638E-1,9.745391278E0
1.237401000E0,4.273014221E0,-8.751551056E0,1.299298096E-1,9.739875675E0
1.247358000E0,4.257745972E0,-8.748257904E0,1.291813660E-1,9.730216079E0
1.257315000E0,4.246369629E0,-8.772657166E0,1.240919495E-1,9.747131249E0
1.267272000E0,4.252656555E0,-8.802594910E0,1.053808594E-1,9.776598081E0
1.277230000E0,4.275409241E0,-8.841663666E0,1.098715210E-1,9.821721453E0
1.287187000E0,4.305496674E0,-8.883875885E0,1.133143616E-1,9.872861414E0
1.297144000E0,4.337979126E0,-8.918154602E0,1.281335449E-1,9.918062442E0
1.307101000E0,4.372108154E0,-8.933871918E0,1.437011719E-1,9.947363831E0
1.317058000E0,4.380490723E0,-8.913214874E0,1.538800049E-1,9.932662152E0
1.327015000E0,4.357738037E0,-8.877738647E0,1.811233521E-1,9.891255227E0
1.336972000E0,4.336033173E0,-8.833879852E0,2.113604736E-1,9.842930974E0
1.346930000E0,4.299658813E0,-8.776698761E0,2.359094238E-1,9.776152633E0
1.356887000E0,4.251159668E0,-8.729247437E0,2.667453003E-1,9.713046504E0
1.366844000E0,4.203109589E0,-8.682993622E0,3.129991150E-1,9.651863908E0
1.376801000E0,4.172722778E0,-8.665180664E0,3.701802063E-1,9.624656083E0
1.386758000E0,4.151766357E0,-8.674461365E0,4.364923096E-1,9.626732020E0
1.396715000E0,4.174069977E0,-8.723110199E0,4.396357727E-1,9.680330125E0
1.406672000E0,4.220623169E0,-8.780890045E0,3.926335144E-1,9.750479526E0
