Data set, Time, Acc_Raw_X, Acc_Raw_Y, Acc_Raw_Z, Gyr_Raw_X, Gyr_Raw_Y, Gyr_Raw_Z
0, 13540,  -5296, 3957, 14660,  0, 0, 0
1, 13676,  -5451, 3985, 14890,  0, 0, 0
2, 13811,  -5526, 3967, 14918,  0, 0, 0
3, 13947,  -5574, 3997, 14992,  0, 0, 0
4, 14082,  -5684, 4026, 14978,  0, 0, 0
5, 14217,  -5625, 4022, 14939,  48, -26, -7
6, 14353,  -5623, 4060, 14821,  45, -25, -10
7, 14488,  -5557, 4094, 14665,  51, -35, -2
8, 14624,  -5539, 4120, 14590,  48, -43, 1
9, 14759,  -5527, 4126, 14627,  36, -51, -2
10, 14895,  -5545, 4084, 14660,  23, -54, -6
11, 15030,  -5529, 4105, 14678,  12, -60, -8
12, 15165,  -5473, 4169, 14777,  4, -67, -12
13, 15301,  -5460, 4192, 14825,  -3, -69, -11
14, 15436,  -5446, 4165, 14863,  -6, -65, -7
15, 15571,  -5452, 4154, 14916,  -7, -57, -2
16, 15707,  -5462, 4167, 14992,  -7, -42, 0
17, 15842,  -5440, 4148, 14991,  -7, -31, 5
18, 15978,  -5440, 4186, 14990,  -2, -19, 10
19, 16113,  -5374, 4182, 14906,  1, -2, 17
20, 16249,  -5363, 4185, 14921,  5, 11, 26
21, 16384,  -5227, 4226, 14661,  10, 30, 33
22, 16520,  -5245, 4228, 14566,  3, 38, 26
23, 16655,  -5291, 4204, 14576,  -9, 37, 18
24, 16791,  -5367, 4187, 14624,  -23, 33, 6
25, 16926,  -5444, 4155, 14701,  -34, 26, 3
26, 17062,  -5546, 4177, 14802,  -38, 15, 5
27, 17197,  -5568, 4159, 14904,  -34, 2, 5
28, 17333,  -5536, 4123, 14920,  -27, -8, 12
29, 17468,  -5537, 4132, 14917,  -16, -7, 17
30, 17603,  -5480, 4137, 14827,  -1, -6, 24
31, 17739,  -5409, 4134, 14763,  15, -5, 34
32, 17874,  -5348, 4141, 14699,  23, -7, 37
33, 18010,  -5311, 4125, 14618,  26, -8, 39
34, 18145,  -5253, 4140, 14534,  26, -9, 36
35, 18281,  -5188, 4129, 14513,  20, -8, 29
36, 18416,  -5194, 4116, 14473,  15, -10, 19
37, 18552,  -5161, 4075, 14485,  10, -12, 11
38, 18687,  -5160, 4077, 14505,  5, -11, 4
39, 18823,  -5204, 4075, 14511,  -4, -2, -2
40, 18958,  -5173, 4055, 14591,  -3, 5, -6
41, 19094,  -5202, 4004, 14578,  -1, 14, -7
42, 19229,  -5225, 4023, 14504,  1, 20, -3
43, 19364,  -5184, 4053, 14494,  2, 20, 0
44, 19500,  -5219, 4046, 14496,  -6, 20, 0
45, 19635,  -5280, 4032, 14530,  -19, 21, -6
46, 19771,  -5329, 4029, 14626,  -34, 17, -13
47, 19906,  -5404, 4029, 14729,  -43, 7, -21
48, 20041,  -5492, 4075, 14808,  -42, -1, -24
49, 20177,  -5538, 4134, 14935,  -43, -12, -24
50, 20312,  -5566, 4107, 15027,  -36, -22, -22
51, 20448,  -5669, 4035, 15127,  -27, -27, -18
52, 20583,  -5679, 4036, 15225,  -18, -34, -14
53, 20718,  -5688, 4039, 15201,  -5, -39, -6
54, 20854,  -5673, 4030, 15155,  12, -40, 5
55, 20989,  -5590, 4129, 15043,  25, -36, 17
56, 21125,  -5393, 4138, 14846,  31, -16, 26
57, 21260,  -5298, 4070, 14694,  28, -7, 23
58, 21396,  -5289, 4088, 14637,  19, 1, 11
59, 21531,  -5275, 4122, 14652,  6, 3, -1
60, 21667,  -5350, 4067, 14693,  -7, 4, -12
61, 21802,  -5364, 4103, 14716,  -18, 7, -17
62, 21937,  -5411, 4085, 14803,  -22, 10, -19
63, 22073,  -5429, 4042, 14822,  -23, 11, -16
