"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.344583336E-4,4.333937531E0,-8.805139618E0,7.156617737E-1,9.840003556E0
9.722541668E-3,4.310137024E0,-8.843160553E0,7.023394775E-1,9.862659402E0
1.967954166E-2,4.281097412E0,-8.871451721E0,6.264472961E-1,9.870303283E0
2.963654166E-2,4.234095154E0,-8.895551605E0,5.632786560E-1,9.867911784E0
3.959354166E-2,4.216880951E0,-8.902287598E0,5.688171387E-1,9.866932774E0
4.955054166E-2,4.216880951E0,-8.873547363E0,5.646258545E-1,9.840768777E0
5.950754166E-2,4.207300873E0,-8.808732147E0,5.472619629E-1,9.777251062E0
6.946454167E-2,4.226311340E0,-8.768465881E0,5.318440247E-1,9.748361889E0
7.942154167E-2,4.245321808E0,-8.791967010E0,5.483097839E-1,9.778654549E0
8.937854166E-2,4.217928772E0,-8.829987946E0,5.571414185E-1,9.801531350E0
9.933554166E-2,4.187691650E0,-8.876092072E0,5.873785400E-1,9.831926839E0
1.092925417E-1,4.175117798E0,-8.898545380E0,6.288423157E-1,9.849424407E0
1.192495417E-1,4.167483673E0,-8.903784485E0,6.966513062E-1,9.855486866E0
1.292065417E-1,4.145778809E0,-8.880433044E0,7.493417358E-1,9.829093856E0
1.391635417E-1,4.137096863E0,-8.863069153E0,7.544311523E-1,9.810134129E0
1.491205417E-1,4.158502350E0,-8.851992188E0,7.400610352E-1,9.808088388E0
1.590775417E-1,4.209995270E0,-8.852740631E0,7.095245361E-1,9.828453689E0
1.690345417E-1,4.221970367E0,-8.857380981E0,7.176077271E-1,9.838353139E0
1.789915417E-1,4.214934998E0,-8.872050476E0,6.908134460E-1,9.846632922E0
1.889485417E-1,4.191433868E0,-8.856183472E0,6.709048462E-1,9.820907131E0
1.989055417E-1,4.165388031E0,-8.841364288E0,6.592291260E-1,9.795650207E0
2.088615417E-1,4.157604218E0,-8.835526428E0,6.074368286E-1,9.783720131E0
2.188185417E-1,4.151916046E0,-8.831335144E0,5.463638306E-1,9.773914299E0
2.287755417E-1,4.174369354E0,-8.844208374E0,5.421725464E-1,9.794862548E0
2.387325417E-1,4.210144958E0,-8.845555573E0,5.779481506E-1,9.813419283E0
2.486895417E-1,4.202061768E0,-8.831035767E0,6.155200195E-1,9.799152040E0
2.586465417E-1,4.188140717E0,-8.820856934E0,6.306385803E-1,9.784975459E0
2.686035417E-1,4.173920288E0,-8.829239502E0,6.297404480E-1,9.786401473E0
2.785605417E-1,4.173321533E0,-8.839418335E0,6.596781921E-1,9.797300875E0
2.885175417E-1,4.167333984E0,-8.841064911E0,7.024891663E-1,9.799213863E0
2.984745417E-1,4.182901611E0,-8.837472382E0,7.481442261E-1,9.805983060E0
3.084315417E-1,4.178860016E0,-8.841364288E0,7.792794800E-1,9.810192150E0
3.183885417E-1,4.174369354E0,-8.842112732E0,7.702981567E-1,9.808245323E0
3.283455417E-1,4.180057526E0,-8.838071136E0,7.361691284E-1,9.804403466E0
3.383025417E-1,4.183200989E0,-8.833879852E0,7.042854309E-1,9.799623550E0
3.482595417E-1,4.182602234E0,-8.838819580E0,7.075785828E-1,9.804058367E0
3.582165417E-1,4.186943207E0,-8.839717712E0,7.291337585E-1,9.808299480E0
3.681735417E-1,4.182452545E0,-8.828940125E0,7.595205688E-1,9.798977728E0
3.781305417E-1,4.167932739E0,-8.829688568E0,7.993377686E-1,9.796632299E0
3.880875417E-1,4.145030365E0,-8.824150085E0,8.418493652E-1,9.785479641E0
3.980445417E-1,4.117637329E0,-8.812174988E0,8.535250854E-1,9.764111340E0
4.080015417E-1,4.109554138E0,-8.777896271E0,8.234376526E-1,9.727175732E0
4.179585417E-1,4.108206940E0,-8.759484558E0,8.187973022E-1,9.709601588E0
