"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.682250001E-3,4.436773682E0,-8.742420044E0,1.304088135E0,9.890172637E0
1.463925000E-2,4.284839630E0,-8.763077087E0,1.172212372E0,9.824736767E0
2.459625000E-2,4.231101379E0,-8.757239227E0,1.052012329E0,9.782545053E0
3.455325001E-2,4.229305115E0,-8.710236969E0,9.653425598E-1,9.730731528E0
4.451025001E-2,4.259093170E0,-8.736282806E0,9.351054382E-1,9.764063400E0
5.446825000E-2,4.293820953E0,-8.798553314E0,9.502239990E-1,9.836379641E0
6.442525001E-2,4.317022705E0,-8.807834015E0,1.043929138E0,9.864299930E0
7.438225001E-2,4.279151459E0,-8.770112457E0,1.248703308E0,9.837950481E0
8.433925001E-2,4.230502625E0,-8.746311951E0,1.521136780E0,9.834072518E0
9.429625001E-2,4.201013947E0,-8.737630005E0,1.741179199E0,9.850198033E0
1.042536250E-1,4.158202972E0,-8.741222534E0,1.879491577E0,9.860634459E0
1.142116250E-1,4.098327484E0,-8.720864868E0,1.919608154E0,9.825205732E0
1.241686250E-1,4.107308807E0,-8.679101715E0,1.835632782E0,9.775803800E0
1.341256250E-1,4.162094879E0,-8.671916656E0,1.695973206E0,9.767369011E0
1.440826250E-1,4.179907837E0,-8.689729614E0,1.552721100E0,9.766983829E0
1.540396250E-1,4.221970367E0,-8.706195374E0,1.369651794E0,9.772349651E0
1.639966250E-1,4.209546204E0,-8.768914948E0,1.254241791E0,9.807510952E0
1.739536250E-1,4.165088654E0,-8.813372498E0,1.224902802E0,9.824656999E0
1.839116250E-1,4.117787018E0,-8.806337128E0,1.243613892E0,9.800730536E0
1.938686250E-1,4.077969818E0,-8.800349579E0,1.269210663E0,9.781967402E0
2.038256250E-1,4.126019897E0,-8.795260162E0,1.298549652E0,9.801370961E0
2.137826250E-1,4.222120056E0,-8.773704987E0,1.367256775E0,9.832272781E0
2.237396250E-1,4.310436401E0,-8.757837982E0,1.467997284E0,9.870896824E0
2.336966250E-1,4.296814728E0,-8.763825531E0,1.579665070E0,9.887496977E0
2.436546250E-1,4.212090912E0,-8.751700745E0,1.614841919E0,9.845897125E0
2.536116250E-1,4.100722504E0,-8.751700745E0,1.609153748E0,9.797834800E0
2.635686250E-1,4.018693085E0,-8.740324402E0,1.601819000E0,9.752383753E0
2.735256250E-1,4.066294098E0,-8.739126892E0,1.594783630E0,9.769873149E0
2.834826250E-1,4.180955658E0,-8.736133118E0,1.591191101E0,9.814901996E0
2.934396250E-1,4.339775391E0,-8.737929382E0,1.563498688E0,9.880768618E0
3.033966250E-1,4.468358002E0,-8.712482300E0,1.473086700E0,9.901694576E0
3.133546250E-1,4.504133606E0,-8.677604828E0,1.359323273E0,9.870957646E0
3.233116250E-1,4.452191620E0,-8.635991364E0,1.265917511E0,9.798209234E0
3.332686250E-1,4.368515625E0,-8.604107666E0,1.253493347E0,9.730665089E0
3.432256250E-1,4.334536285E0,-8.623567200E0,1.260678406E0,9.733623483E0
3.531826250E-1,4.314028931E0,-8.673263855E0,1.295705566E0,9.773188038E0
3.631396250E-1,4.288881226E0,-8.701555023E0,1.350341949E0,9.794640645E0
3.730966250E-1,4.225562897E0,-8.720415802E0,1.407672729E0,9.791964873E0
3.830546250E-1,4.141288147E0,-8.743168488E0,1.446442108E0,9.781894371E0
3.930116250E-1,4.094136200E0,-8.738677826E0,1.470392303E0,9.761582602E0
4.029686250E-1,4.081562347E0,-8.692274323E0,1.514400787E0,9.721532484E0
4.129256250E-1,4.106859741E0,-8.679550781E0,1.578766937E0,9.731053578E0
4.228826250E-1,4.197720795E0,-8.693471832E0,1.618434448E0,9.788597572E0
4.328396250E-1,4.264631653E0,-8.721912689E0,1.613644409E0,9.841884595E0
4.427976250E-1,4.325255585E0,-8.738228760E0,1.551224213E0,9.872728817E0
4.527546250E-1,4.358037415E0,-8.743617554E0,1.461111603E0,9.878167095E0
4.627116250E-1,4.357588348E0,-8.762178955E0,1.393302612E0,9.884616757E0
4.726686250E-1,4.303101654E0,-8.791368256E0,1.326840820E0,9.877517209E0
4.826256250E-1,4.260889435E0,-8.804690552E0,1.278641052E0,9.864718822E0
4.925826250E-1,4.275558929E0,-8.783434753E0,1.269510040E0,9.850928178E0
5.025396250E-1,4.280199280E0,-8.744515686E0,1.287921753E0,9.820662040E0
5.124976250E-1,4.281696167E0,-8.737779694E0,1.325942688E0,9.820378814E0
5.224546250E-1,4.255800018E0,-8.745713196E0,1.339264984E0,9.817991841E0
5.324116250E-1,4.237388306E0,-8.745114441E0,1.332229614E0,9.808533121E0
5.423686250E-1,4.253554688E0,-8.712482300E0,1.323547668E0,9.785287616E0
5.523256250E-1,4.245920563E0,-8.712781677E0,1.318907318E0,9.781611447E0
5.622826250E-1,4.200265503E0,-8.720864868E0,1.280137939E0,9.763937090E0
5.722406250E-1,4.180805969E0,-8.757987671E0,1.262175293E0,9.786448440E0
5.821976250E-1,4.173022156E0,-8.787326660E0,1.257834320E0,9.808841467E0
5.921546250E-1,4.177512817E0,-8.799152069E0,1.258732452E0,9.821461086E0
6.021116250E-1,4.190835114E0,-8.824898529E0,1.251547394E0,9.849279358E0
6.120686250E-1,4.227359161E0,-8.834777985E0,1.250349884E0,9.873562799E0
6.220256250E-1,4.280947723E0,-8.859925690E0,1.243913269E0,9.918271869E0
6.319826250E-1,4.325405273E0,-8.931327209E0,1.229243774E0,9.999438822E0
6.419406250E-1,4.318818970E0,-9.012458496E0,1.184187469E0,1.006374212E1
6.518976250E-1,4.254452820E0,-9.057215424E0,1.149759064E0,1.007251041E1
6.618546250E-1,4.152215424E0,-9.056766357E0,1.088536377E0,1.002251571E1
6.718116250E-1,4.072581024E0,-9.000483398E0,1.045875092E0,9.934207181E0
6.817686250E-1,4.035907288E0,-8.866511993E0,9.894424438E-1,9.791965018E0
6.917256250E-1,4.026476898E0,-8.791517944E0,9.538165283E-1,9.716638819E0
7.016836250E-1,4.006717987E0,-8.751850433E0,9.207353210E-1,9.669355127E0
7.116406250E-1,3.992048492E0,-8.681646423E0,8.845106506E-1,9.596342787E0
7.215976250E-1,3.997736664E0,-8.646768951E0,8.487350464E-1,9.563935535E0
7.315546250E-1,3.995341644E0,-8.674611053E0,7.997868347E-1,9.583907907E0
7.415116250E-1,3.992946625E0,-8.728948059E0,7.890092468E-1,9.631235256E0
7.514686250E-1,4.009562073E0,-8.804241486E0,7.740403748E-1,9.705173602E0
7.614266250E-1,4.004772034E0,-8.855435028E0,7.872129822E-1,9.750724735E0
7.713836250E-1,4.008214874E0,-8.908873901E0,8.057743835E-1,9.802198377E0
7.813406250E-1,3.990252228E0,-8.949888611E0,8.358618164E-1,9.834697960E0
7.912976250E-1,3.967349854E0,-8.966653748E0,8.616082764E-1,9.842921980E0
8.012546250E-1,3.940256195E0,-8.978179779E0,8.687933350E-1,9.843176971E0
8.112116250E-1,3.946094055E0,-8.993597717E0,8.779243469E-1,9.860385862E0
8.211686250E-1,3.959416351E0,-9.023834839E0,8.921447754E-1,9.894568982E0
8.311266250E-1,3.985462189E0,-9.040150909E0,9.059161377E-1,9.921135085E0
8.410836250E-1,4.019740906E0,-9.037007446E0,9.078620911E-1,9.932272354E0
8.510406250E-1,4.079766083E0,-9.002279663E0,9.089099121E-1,9.925303403E0
8.609976250E-1,4.136498108E0,-8.983867950E0,8.967851257E-1,9.930998112E0
8.709546250E-1,4.139791260E0,-8.957223358E0,8.810678101E-1,9.906866429E0
8.809116250E-1,4.098327484E0,-8.906927948E0,8.376580811E-1,9.840290885E0
8.908696250E-1,4.035158844E0,-8.826844482E0,7.961943054E-1,9.738049896E0
9.008266250E-1,4.004921722E0,-8.774902496E0,7.394622803E-1,9.673940060E0
9.107836250E-1,3.984114990E0,-8.753946075E0,6.930587769E-1,9.642876885E0
9.207406250E-1,3.977079620E0,-8.771160278E0,6.541397095E-1,9.652891468E0
9.306976250E-1,3.976331177E0,-8.802145844E0,6.065386963E-1,9.677647972E0
9.406546250E-1,3.977378998E0,-8.813522186E0,5.794450378E-1,9.686767963E0
9.506126250E-1,3.988905029E0,-8.818910980E0,5.556445312E-1,9.695013928E0
9.605696250E-1,3.998185730E0,-8.831035767E0,5.153782654E-1,9.707641145E0
9.705266250E-1,4.016747131E0,-8.842412109E0,4.695735168E-1,9.723322926E0
9.804836250E-1,4.038451996E0,-8.887618103E0,4.659809875E-1,9.773228144E0
9.904406250E-1,4.067790985E0,-8.950637054E0,4.581971741E-1,9.842295049E0
1.000397625E0,4.084256744E0,-9.019044800E0,4.601431274E-1,9.911410291E0
1.010354625E0,4.117038574E0,-9.068891144E0,4.909790039E-1,9.971752784E0
1.020312625E0,4.118236084E0,-9.082063751E0,5.069956970E-1,9.985028546E0
1.030269625E0,4.082610168E0,-9.041049042E0,5.167254639E-1,9.933543112E0
1.040226625E0,4.015549622E0,-8.969198456E0,5.294490051E-1,9.841314747E0
1.050183625E0,3.961661682E0,-8.889564056E0,5.432203674E-1,9.747522801E0
1.060140625E0,3.916156311E0,-8.836125183E0,5.484594727E-1,9.680609294E0
1.070097625E0,3.892804871E0,-8.831035767E0,5.776487732E-1,9.668236684E0
1.080055625E0,3.905678101E0,-8.852141876E0,6.221063232E-1,9.695450144E0
1.090012625E0,3.936364288E0,-8.919052734E0,6.393205261E-1,9.770015160E0
1.099969750E0,3.990551605E0,-8.976982269E0,6.521937561E-1,9.845611686E0
1.109926750E0,4.071832581E0,-9.028026123E0,6.554869080E-1,9.925459150E0
1.119883750E0,4.166735229E0,-9.053173828E0,6.535409546E-1,9.987429830E0
1.129840750E0,4.255051575E0,-9.050030365E0,6.427633667E-1,1.002106074E1
1.139798750E0,4.304149475E0,-8.972042542E0,6.328839111E-1,9.971147984E0
1.149755750E0,4.261039124E0,-8.852590942E0,6.185137939E-1,9.844154617E0
1.159712750E0,4.223766632E0,-8.762777710E0,6.219566345E-1,9.747476997E0
1.169669750E0,4.238286438E0,-8.749904480E0,6.227050781E-1,9.742261645E0
1.179626750E0,4.257596283E0,-8.753047943E0,6.158193970E-1,9.753061465E0
1.189583750E0,4.279001770E0,-8.768615570E0,6.161187744E-1,9.776404119E0
1.199541750E0,4.292773132E0,-8.788823547E0,6.137237549E-1,9.800407000E0
1.209498750E0,4.330644379E0,-8.841663666E0,6.036946106E-1,9.863769274E0
1.219455750E0,4.348457336E0,-8.838370514E0,5.804928589E-1,9.867261348E0
1.229412750E0,4.321363678E0,-8.793912964E0,5.776487732E-1,9.815333278E0
1.239369750E0,4.287534027E0,-8.769813080E0,5.529501343E-1,9.777439508E0
1.249326750E0,4.288881226E0,-8.771459656E0,5.547463989E-1,9.779608899E0
1.259283750E0,4.295018463E0,-8.785829773E0,5.507048035E-1,9.794961163E0
1.269241750E0,4.312981110E0,-8.799002380E0,5.533992004E-1,9.814810218E0
