"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.196666562E-4,3.779789886E0,-8.925938416E0,1.842668152E0,9.866844181E0
1.007666666E-2,3.908971252E0,-8.965456238E0,1.716181183E0,9.929991926E0
2.003366666E-2,4.000131683E0,-8.956923981E0,1.648372192E0,9.947093624E0
2.999166666E-2,3.986959076E0,-8.920549622E0,1.679058380E0,9.914196148E0
3.994866666E-2,3.894451447E0,-8.874595184E0,1.706002350E0,9.840509935E0
4.990566666E-2,3.855831757E0,-8.807384949E0,1.758094025E0,9.773861201E0
5.986266666E-2,3.873045959E0,-8.755293274E0,1.833537140E0,9.747692227E0
6.981966666E-2,3.892056427E0,-8.754544830E0,1.879790955E0,9.763389394E0
7.977666667E-2,3.909719696E0,-8.823251953E0,1.903591461E0,9.836632736E0
8.973466666E-2,3.930376740E0,-8.906029816E0,1.890867920E0,9.916683411E0
9.969166666E-2,3.928430786E0,-8.941506042E0,1.846709747E0,9.939488701E0
1.096486667E-1,3.918551331E0,-8.953032074E0,1.804347839E0,9.938183887E0
1.196056667E-1,3.885021057E0,-8.938961334E0,1.744921417E0,9.901675065E0
1.295636667E-1,3.869303741E0,-8.899742889E0,1.681453400E0,9.849072062E0
1.395206667E-1,3.868555298E0,-8.852890320E0,1.631756744E0,9.798061909E0
1.494776667E-1,3.872596893E0,-8.803642731E0,1.563947754E0,9.744078438E0
1.594346667E-1,3.888164520E0,-8.750802612E0,1.523980865E0,9.696230576E0
1.693916667E-1,3.887565765E0,-8.749455414E0,1.500180359E0,9.691061796E0
1.793486667E-1,3.914958801E0,-8.822353821E0,1.493294678E0,9.766819254E0
1.893066667E-1,3.938609619E0,-8.892408142E0,1.502575378E0,9.841001019E0
1.992636667E-1,3.936663666E0,-8.886270905E0,1.494192810E0,9.833399390E0
2.092206667E-1,3.924688568E0,-8.886869659E0,1.452579346E0,9.822912982E0
2.191776667E-1,3.889960785E0,-8.889414368E0,1.406325531E0,9.804653702E0
2.291346667E-1,3.851640472E0,-8.870403900E0,1.403331757E0,9.771823765E0
2.390926667E-1,3.823798370E0,-8.877738647E0,1.441502380E0,9.773106291E0
2.490496667E-1,3.798500977E0,-8.887917480E0,1.476230164E0,9.777675711E0
2.590066667E-1,3.815715179E0,-8.873397675E0,1.456022186E0,9.768155877E0
2.689636667E-1,3.849694519E0,-8.866362305E0,1.444196777E0,9.773342966E0
2.789206667E-1,3.847000122E0,-8.904682617E0,1.451980591E0,9.808212380E0
2.888775833E-1,3.836821289E0,-8.941206665E0,1.495839386E0,9.843978347E0
2.988355833E-1,3.841311951E0,-8.958570557E0,1.473386078E0,9.858120026E0
